Feature_ID,AC_1,AC_10,AC_100,AC_101,AC_102,AC_103,AC_104,AC_105,AC_106,AC_107,AC_108,AC_109,AC_11,AC_12,AC_13,AC_14,AC_15,AC_16,AC_17,AC_18,AC_19,AC_2,AC_20,AC_21,AC_22,AC_23,AC_24,AC_25,AC_26,AC_27,AC_28,AC_29,AC_3,AC_30,AC_31,AC_32,AC_33,AC_34,AC_35,AC_36,AC_38,AC_39,AC_4,AC_40,AC_42,AC_43,AC_44,AC_45,AC_46,AC_47,AC_48,AC_49,AC_5,AC_50,AC_51,AC_52,AC_53,AC_54,AC_55,AC_56,AC_57,AC_58,AC_59,AC_6,AC_60,AC_61,AC_64,AC_65,AC_66,AC_67,AC_68,AC_69,AC_7,AC_70,AC_71,AC_72,AC_73,AC_74,AC_75,AC_76,AC_77,AC_78,AC_79,AC_8,AC_80,AC_81,AC_82,AC_83,AC_84,AC_85,AC_86,AC_87,AC_88,AC_89,AC_9,AC_90,AC_91,AC_92,AC_93,AC_94,AC_95,AC_96,AC_97,AC_98,AC_99
c0e6c66cfd0673747e59936d6c050407,903,993,320,574,267,1060,302,478,294,892,862,123,152,1280,803,49,241,53,576,853,147,16,1025,115,942,433,1365,807,1477,477,396,1511,621,528,722,391,306,848,586,915,101,606,25,1093,1114,1202,514,175,1355,1351,1301,1681,216,142,1290,255,255,191,338,157,749,609,1361,62,782,109,722,631,375,346,72,528,76,169,915,447,1576,688,644,506,855,1490,773,8,795,666,195,97,186,667,1305,45,1299,222,35,968,71,867,1274,378,411,1135,836,703,905
da15af834577efdca8f1b3dd6cb75817,65,12,0,1235,2,399,866,1618,0,903,23,1996,0,0,0,65,11,0,115,0,7,0,260,0,0,0,0,0,0,1532,19,431,6,1,356,28,614,64,938,459,0,0,5,0,483,43,694,27,0,0,0,0,87,24,0,0,136,190,93,2516,318,0,18,0,6,530,0,0,1182,3,0,1814,2,1,1,1714,0,924,0,1553,639,0,204,86,0,0,0,469,1394,1247,0,0,0,0,14,0,0,55,1,255,1639,3,1651,404,0
61a0606c0017caac996f520569863b69,115,198,86,160,77,2,108,236,98,411,151,0,135,509,79,45,85,7,142,347,42,7,421,1,138,132,499,591,404,122,0,123,237,236,153,191,329,178,105,323,75,224,59,316,426,117,207,81,97,442,390,302,119,9,537,219,57,45,143,10,142,252,305,2,353,31,239,266,50,140,1,199,93,68,296,135,480,212,178,174,139,295,177,37,115,124,100,105,58,308,134,23,81,8,18,46,5,142,426,32,199,234,168,56,194
8f0831ade3b3e4a5b7a972547804fff2,7,12,688,0,0,21,227,0,717,0,0,0,426,1,112,426,0,72,12,9,76,23,0,0,0,575,7,0,0,0,324,0,0,430,21,1472,92,379,0,0,478,0,388,38,0,271,0,4,0,3,0,0,0,761,26,0,516,1166,148,0,1,30,0,6,0,0,0,0,48,920,801,0,125,232,62,26,0,52,205,7,0,0,0,0,0,3,827,56,0,0,0,1405,54,847,0,55,591,0,6,843,68,27,0,0,0
34a84b55375f1d8fdba5d070a617f3a5,758,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,921,0,3,260,1345,0,0,0,0,0,0,433,0,2,986,6,0,49,0,0,0,0,0,0,0,0,0,0,460,0,0,0,3,124,0,2063,625,0,0,5,700,0,0,250,0,0,876,1164,0,3,264,0,1,0,0,0,0,0,0,0,663,1,1055,0,4,0,0,4,1091,2,0,0,0,85,0,562,0,0,0,160,0,0,156,0,632
7644ba5e228f6c7e4cab13c973eebd3c,187,206,0,0,208,35,160,0,0,39,0,0,0,0,62,8,1020,136,1173,0,0,7,0,0,21,4,0,0,0,49,109,78,0,0,127,0,0,23,874,44,0,50,20,0,0,21,1007,905,0,0,15,0,0,4,0,0,4,20,0,0,251,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,48,199,0,292,0,0,1211,0,1436,80,0,0,0,0,0,291,0,0,839,0,79,0,0,29,884,0
fd123868368f46e30f2b2f7a2fa45861,55,110,97,148,144,137,70,34,62,107,149,120,18,305,53,17,27,12,74,134,49,0,244,108,109,81,291,187,272,97,0,179,114,59,139,98,38,98,99,186,53,89,13,333,139,119,139,14,99,383,355,247,86,12,260,56,43,0,0,29,135,59,211,26,200,38,128,275,63,37,35,124,0,0,248,39,428,70,139,71,142,433,106,16,81,144,67,55,27,166,100,9,27,50,0,108,13,241,315,73,105,330,190,118,187
8024ea926f3fdd804332b645f98fc7f4,60,309,177,214,214,0,55,176,93,14,126,0,29,263,94,16,54,0,81,37,0,0,291,0,0,84,139,223,108,32,0,75,111,0,47,13,153,58,65,209,0,50,0,75,53,144,125,35,64,228,366,0,0,0,290,88,41,15,0,0,35,57,90,0,296,36,39,0,1,61,0,27,12,0,160,52,206,20,59,13,91,122,51,0,91,62,47,0,30,132,139,13,49,0,13,13,0,107,187,10,0,195,0,178,0
5fb983e92b5f365c10ce1f7d494eb7e1,53,177,79,0,0,0,41,64,88,41,211,0,16,245,95,22,33,0,48,79,0,0,172,0,24,39,154,169,135,15,0,29,118,150,33,0,178,38,85,131,67,70,0,97,0,85,50,18,49,261,317,112,0,15,162,0,18,25,26,0,70,78,82,0,0,12,0,0,22,61,0,44,12,0,109,0,133,38,105,23,41,85,62,0,45,37,37,26,16,34,365,0,102,0,0,181,0,56,276,22,0,181,18,0,0
1ca72d4dd6b29e683338f1ba895b5bc1,0,45,10,0,65,36,11,0,0,76,31,84,31,23,0,0,913,0,18,0,89,0,14,0,0,0,84,0,99,126,0,0,0,0,19,5,0,0,77,0,9,0,0,26,0,0,25,1175,0,0,0,0,0,0,0,118,0,0,0,10,9,0,0,57,0,0,0,0,27,25,0,0,155,0,43,0,14,0,28,44,0,0,0,73,0,196,0,220,0,0,0,0,0,0,1843,63,0,0,0,0,0,24,0,0,182
561f809577daa2932b264f72e2ed49fe,27,182,64,90,5,0,77,0,16,61,234,0,18,94,292,0,25,0,99,102,29,4,13,32,5,29,139,372,158,23,0,123,108,51,20,44,49,39,78,1,30,0,0,60,135,234,29,11,0,68,100,71,0,0,151,97,47,18,7,27,25,51,106,25,227,0,177,272,22,61,0,42,0,54,169,70,40,16,56,0,103,208,4,0,39,158,9,52,12,63,193,5,97,28,12,214,2,157,90,33,86,163,41,20,166
b772fe52a7ceca98c424d9c16da7c826,82,43,0,186,68,0,59,84,0,43,0,0,48,0,0,0,20,0,49,247,17,0,0,20,111,44,298,192,161,120,0,111,33,23,132,89,0,71,68,0,0,0,4,99,0,149,57,10,292,0,0,0,0,23,130,0,37,22,173,0,87,159,0,19,0,14,44,47,41,42,0,108,15,52,0,0,184,105,88,87,124,0,56,0,68,0,40,0,19,131,0,0,73,0,0,100,0,96,0,30,93,186,77,138,41
e09c9c87223e713ca3e185b78a49e825,51,65,0,0,0,0,84,0,0,0,0,0,0,0,0,0,464,0,387,0,0,0,0,0,0,0,0,0,0,21,0,30,0,0,113,0,0,0,214,0,0,0,13,0,0,0,414,391,0,0,0,0,0,0,0,0,13,11,0,0,108,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,19,72,0,182,0,2,326,0,451,13,0,0,0,0,0,81,0,0,302,0,14,0,0,15,469,0
3964b537a5b584afc40192b91d5283b3,0,0,36,0,171,41,0,0,24,186,0,0,0,284,0,0,17,0,82,0,0,0,0,0,0,42,247,0,281,87,0,32,171,0,10,56,44,0,36,0,26,0,0,201,0,0,0,0,0,237,53,0,0,0,93,0,17,0,57,0,42,12,0,0,86,0,0,0,0,93,0,0,0,0,213,0,120,22,130,0,14,244,57,0,47,80,0,53,2,66,135,0,0,17,0,0,2,62,169,55,15,92,30,27,0
146534442947519c8fedf7f52727fc8c,0,2,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2590,95,0,455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,353,0,0,0,0,0,0,0,0,0,0,0
428dec69e446414594ca03a0cbd972cd,18,0,186,0,0,0,33,71,69,0,0,0,394,3,0,0,2,491,10,9,133,29,1,0,0,163,2,0,0,0,0,0,73,0,0,24,0,53,0,0,83,17,159,0,0,0,0,0,0,0,0,0,62,891,20,0,85,22,0,0,13,19,24,42,0,0,0,0,4,376,5,0,22,186,0,18,0,22,67,13,0,0,26,42,0,0,112,0,0,0,0,12,0,254,0,0,59,0,0,146,26,0,0,0,0
